,p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene
FBgn0267033,0,-0.964019752,0.598,0.759,0,mamo
FBgn0001226,0,-0.972378248,0.661,0.753,0,Hsp27
FBgn0051324,0,-0.984586292,0.945,0.987,0,CG31324
FBgn0020415,0,-0.992519181,0.902,0.941,0,Idgf2
FBgn0038250,0,-0.998944836,0.754,0.813,0,CG3505
FBgn0031914,0,-1.001119573,0.716,0.839,0,CG5973
FBgn0032405,0,-1.001934513,0.758,0.846,0,firl
FBgn0261385,0,-1.016706393,0.76,0.84,0,scra
FBgn0004198,0,-1.02185634,0.786,0.854,0,ct
FBgn0034985,0,-1.040550296,0.715,0.777,0,CG3328
FBgn0004629,0,-1.044922035,0.839,0.872,0,Cys
FBgn0010470,0,-1.048139378,0.685,0.77,0,Fkbp14
FBgn0038964,0,-1.050924172,0.685,0.809,0,Nop56
FBgn0260768,0,-1.061089203,0.745,0.872,0,CG42566
FBgn0033777,0,-1.097047242,0.846,0.929,0,CG17574
FBgn0259111,0,-1.098343021,0.665,0.832,0,Ndae1
FBgn0001089,0,-1.10368649,0.778,0.837,0,Gal
FBgn0040102,0,-1.116468169,0.79,0.852,0,lectin-24Db
FBgn0259735,0,-1.11925113,0.73,0.883,0,CG42389
FBgn0000578,0,-1.127491117,0.735,0.838,0,ena
FBgn0028990,0,-1.132567753,0.766,0.886,0,Spn27A
FBgn0034139,0,-1.159600985,0.698,0.826,0,CG4927
FBgn0030521,0,-1.171552914,0.915,0.955,0,CtsB1
FBgn0262656,0,-1.184818421,0.67,0.774,0,Myc
FBgn0031327,0,-1.2055399,0.96,0.985,0,CG5397
FBgn0038826,0,-1.206921527,0.786,0.897,0,Syp
FBgn0051075,0,-1.237289659,0.778,0.864,0,CG31075
FBgn0003525,0,-1.247690935,0.584,0.724,0,stg
FBgn0086254,0,-1.253227999,0.829,0.914,0,CG6084
FBgn0039776,0,-1.269565784,0.755,0.888,0,PH4alphaEFB
FBgn0040398,0,-1.270494078,0.998,1,0,CG14629
FBgn0004362,0,-1.277429937,0.773,0.844,0,HmgD
FBgn0037913,0,-1.292620161,0.768,0.834,0,fabp
FBgn0250837,0,-1.29827306,0.761,0.846,0,dUTPase
FBgn0036891,0,-1.310792804,0.891,0.948,0,CG9372
FBgn0037228,0,-1.317975928,0.862,0.922,0,CG1092
FBgn0020414,0,-1.332773481,0.888,0.953,0,Idgf3
FBgn0011722,0,-1.353723319,0.793,0.84,0,Tig
FBgn0032006,0,-1.355847278,0.705,0.859,0,Pvr
FBgn0033153,0,-1.359199823,0.795,0.882,0,Gadd45
