Gene,Sample_Name,Treatment,Biological_Replica,Technical_Replica,Plate,Target_Type,Target_Name,Ct,Obs,qPCR_Date
Tep1,control_4,Control,4,1,2,Experimental,Tep1,31.52685165,,2019_07_29
Tep1,oil_1,Oil,1,1,2,Experimental,Tep1,29.18755722,,2019_07_29
Tep1,oil_2,Oil,2,1,2,Experimental,Tep1,26.95240784,,2019_07_29
Tep1,oil_3,Oil,3,1,2,Experimental,Tep1,28.99511147,,2019_07_29
Tep1,oil_4,Oil,4,1,2,Experimental,Tep1,27.27272034,,2019_07_29
Tep1,waspoil_1,Wasp_Extract,1,1,2,Experimental,Tep1,25.20226669,,2019_07_29
Tep1,waspoil_2,Wasp_Extract,2,1,2,Experimental,Tep1,24.39602661,,2019_07_29
Tep1,waspoil_3,Wasp_Extract,3,1,2,Experimental,Tep1,25.34644508,,2019_07_29
Tep1,waspoil_4,Wasp_Extract,4,1,2,Experimental,Tep1,24.95249367,,2019_07_29
IM2,control_1,Control,1,1,2,Experimental,IM2,31.3757782,,2019_07_29
IM2,control_2,Control,2,1,2,Experimental,IM2,40,Undetermined,2019_07_29
IM2,control_3,Control,3,1,2,Experimental,IM2,22.90577698,,2019_07_29
IM2,control_4,Control,4,1,2,Experimental,IM2,35.81834412,,2019_07_29
IM2,oil_1,Oil,1,1,2,Experimental,IM2,24.890728,,2019_07_29
IM2,oil_2,Oil,2,1,2,Experimental,IM2,22.4974575,,2019_07_29
IM2,oil_3,Oil,3,1,2,Experimental,IM2,27.00723076,,2019_07_29
IM2,oil_4,Oil,4,1,2,Experimental,IM2,26.50795937,,2019_07_29
IM2,waspoil_1,Wasp_Extract,1,1,2,Experimental,IM2,25.89886475,,2019_07_29
IM2,waspoil_2,Wasp_Extract,2,1,2,Experimental,IM2,26.765131,,2019_07_29
IM2,waspoil_3,Wasp_Extract,3,1,2,Experimental,IM2,30.11265373,,2019_07_29
IM2,waspoil_4,Wasp_Extract,4,1,2,Experimental,IM2,27.23888969,,2019_07_29
CG33462,control_1,Control,1,1,2,Experimental,CG33462,32.96964264,,2019_07_29
CG33462,control_2,Control,2,1,2,Experimental,CG33462,32.11883926,,2019_07_29
CG33462,control_3,Control,3,1,2,Experimental,CG33462,28.18987656,,2019_07_29
CG33462,control_4,Control,4,1,2,Experimental,CG33462,32.73344421,,2019_07_29
CG33462,oil_1,Oil,1,1,2,Experimental,CG33462,31.93548393,,2019_07_29
CG33462,oil_2,Oil,2,1,2,Experimental,CG33462,31.07830811,,2019_07_29
CG33462,oil_3,Oil,3,1,2,Experimental,CG33462,32.38165665,,2019_07_29
CG33462,oil_4,Oil,4,1,2,Experimental,CG33462,31.22213173,,2019_07_29
CG33462,waspoil_1,Wasp_Extract,1,1,2,Experimental,CG33462,27.13719177,,2019_07_29
CG33462,waspoil_2,Wasp_Extract,2,1,2,Experimental,CG33462,25.51180458,,2019_07_29
CG33462,waspoil_3,Wasp_Extract,3,1,2,Experimental,CG33462,27.29032516,,2019_07_29
CG33462,waspoil_4,Wasp_Extract,4,1,2,Experimental,CG33462,26.26684189,,2019_07_29
Tep1,control_1,Control,1,2,2,Experimental,Tep1,30.35835266,,2019_07_29
Tep1,control_2,Control,2,2,2,Experimental,Tep1,29.50155258,,2019_07_29
Tep1,control_3,Control,3,2,2,Experimental,Tep1,27.28012085,,2019_07_29
Tep1,control_4,Control,4,2,2,Experimental,Tep1,32.37472534,,2019_07_29
Tep1,oil_1,Oil,1,2,2,Experimental,Tep1,29.52975082,,2019_07_29
Tep1,oil_2,Oil,2,2,2,Experimental,Tep1,26.42979622,,2019_07_29
Tep1,oil_3,Oil,3,2,2,Experimental,Tep1,28.99822998,,2019_07_29
Tep1,oil_4,Oil,4,2,2,Experimental,Tep1,27.10999107,,2019_07_29
Tep1,waspoil_1,Wasp_Extract,1,2,2,Experimental,Tep1,25.28205681,,2019_07_29
Tep1,waspoil_2,Wasp_Extract,2,2,2,Experimental,Tep1,24.13948059,,2019_07_29
Tep1,waspoil_3,Wasp_Extract,3,2,2,Experimental,Tep1,25.41821289,,2019_07_29
Tep1,waspoil_4,Wasp_Extract,4,2,2,Experimental,Tep1,24.88720894,,2019_07_29
IM2,control_1,Control,1,2,2,Experimental,IM2,31.12876892,,2019_07_29
IM2,control_2,Control,2,2,2,Experimental,IM2,40,Undetermined,2019_07_29
IM2,control_3,Control,3,2,2,Experimental,IM2,23.03705025,,2019_07_29
IM2,control_4,Control,4,2,2,Experimental,IM2,34.4618721,,2019_07_29
IM2,oil_1,Oil,1,2,2,Experimental,IM2,24.92446518,,2019_07_29
IM2,oil_2,Oil,2,2,2,Experimental,IM2,22.13652039,,2019_07_29
IM2,oil_3,Oil,3,2,2,Experimental,IM2,26.8997879,,2019_07_29
IM2,oil_4,Oil,4,2,2,Experimental,IM2,26.32351875,,2019_07_29
IM2,waspoil_1,Wasp_Extract,1,2,2,Experimental,IM2,25.76057625,,2019_07_29
IM2,waspoil_2,Wasp_Extract,2,2,2,Experimental,IM2,26.94704056,,2019_07_29
IM2,waspoil_3,Wasp_Extract,3,2,2,Experimental,IM2,30.43665886,,2019_07_29
IM2,waspoil_4,Wasp_Extract,4,2,2,Experimental,IM2,27.4753952,,2019_07_29
CG33462,control_1,Control,1,2,2,Experimental,CG33462,32.32859421,,2019_07_29
CG33462,control_2,Control,2,2,2,Experimental,CG33462,32.03808212,,2019_07_29
CG33462,control_3,Control,3,2,2,Experimental,CG33462,28.13583374,,2019_07_29
CG33462,control_4,Control,4,2,2,Experimental,CG33462,33.33810806,,2019_07_29
CG33462,oil_1,Oil,1,2,2,Experimental,CG33462,32.6221962,,2019_07_29
CG33462,oil_2,Oil,2,2,2,Experimental,CG33462,30.95775795,,2019_07_29
CG33462,oil_3,Oil,3,2,2,Experimental,CG33462,33.26600266,,2019_07_29
