FB_ID,waspvcontrol,waspvoil
FBgn0031245,0.402086456,0.391100271
FBgn0031238,-0.015371059,0.397739729
FBgn0051973,0.456031888,-0.563249022
FBgn0002121,0.230341016,-0.018836967
FBgn0036974,-0.013127806,0.142427403
FBgn0024887,-0.048712423,-0.08549432
FBgn0036980,0.135656228,-0.142000415
FBgn0036998,0.030508262,-0.173394498
FBgn0036999,0.074142983,0.068688276
FBgn0037001,-0.31943203,-0.270071954
FBgn0052425,0.016240734,0.169627947
FBgn0037011,0.027399636,0.071864371
FBgn0037010,-0.677732376,-0.680700976
FBgn0037007,0.360448734,0.347218052
FBgn0052428,0.066190236,-0.0649964
FBgn0036990,-0.462590978,-0.320301882
FBgn0029158,-0.296794712,-0.187055218
FBgn0028978,-0.214269214,-0.010139206
FBgn0027565,0.126466578,-0.180223668
FBgn0001247,-0.040800389,-0.232977618
FBgn0037016,-0.044808504,-0.074951893
FBgn0016696,0.442593094,-0.014813007
FBgn0037020,-0.13739565,0.016472074
FBgn0037024,-0.074330145,-0.137589397
FBgn0037027,0.128658439,-0.136888058
FBgn0027055,0.005075115,0.03232689
FBgn0037026,-0.002103862,-0.255276503
FBgn0037021,0.229390228,0.0266235
FBgn0037019,0.108011478,0.1149274
FBgn0037018,-0.265002598,-0.2251777
FBgn0028402,0.068481042,0.301968885
FBgn0026179,-0.070727779,-0.125699919
FBgn0037057,0.120881543,0.089239951
FBgn0028427,-0.033424679,-0.037693291
FBgn0037051,-0.1877362,0.214013398
FBgn0003415,0.010297898,-0.363974903
FBgn0037071,-0.178895614,-0.203775467
FBgn0037073,-0.239824655,0.124922173
FBgn0052436,0.374976294,-0.620681154
FBgn0005694,0.12013059,0.062441154
FBgn0037087,-0.149510399,0.144609439
FBgn0037093,0.025375346,-0.020833638
FBgn0037094,-0.02481958,-0.093632101
FBgn0015283,-0.232724492,-0.140854101
FBgn0028663,-0.126394817,-0.165868957
FBgn0052441,-0.112857124,-0.108692316
FBgn0037102,-0.289240044,-0.206206769
FBgn0037098,-0.014915028,-0.380230545
FBgn0029152,0.080070495,-0.488551739
FBgn0015239,0.01873279,0.204051954
FBgn0037081,-0.061737357,-0.116608498
FBgn0037074,0.108814901,0.078348232
FBgn0027945,-0.077681776,0.089930718
FBgn0037063,-0.2412247,-0.149578768
FBgn0037108,0.124863555,0.17396481
FBgn0037110,0.233224669,0.173741723
FBgn0043783,-0.317636213,-0.215911128
FBgn0052446,0.13376919,0.213965423
FBgn0037117,0.115294694,-0.142926266
FBgn0037121,-0.080652395,0.100545725
FBgn0022936,-0.084184049,-0.201992903
FBgn0037135,-0.178149597,0.015828053
FBgn0037138,0.119313199,-0.823921619
FBgn0037127,-0.487664741,0.307527844
FBgn0037126,-0.003207921,-0.899501586
FBgn0037120,0.008779379,-0.505153255
FBgn0037116,-0.050197674,-0.028655669
FBgn0037109,-0.131508485,-0.355627766
FBgn0037140,-0.543773768,0.138817015
FBgn0037142,0.134597515,-0.344443645
FBgn0037144,-0.238542071,-0.073924794
FBgn0037146,-0.057486253,0.026110987
FBgn0000100,-0.167913539,0.113884887
FBgn0037150,0.158911954,0.140553014
FBgn0027532,-0.01668059,-0.026929523
FBgn0015075,-0.123837413,-0.461437507
FBgn0004179,0.378858527,-0.043981031
FBgn0027086,-0.03707394,0.248264989
FBgn0037167,-0.132159949,0.006813927
FBgn0037163,-0.275394413,-0.25919268
FBgn0004449,0.755395278,0.413854034
FBgn0011771,0.120984332,-0.086526686
FBgn0028500,0.161774388,-0.045687924
FBgn0037181,1.356971337,-1.868468164
FBgn0052451,0.102572187,-0.003019856
FBgn0010830,-0.147534037,-0.285138389
FBgn0037186,-0.16392194,0.219426558
FBgn0037182,0.035251305,0.174005982
FBgn0037207,0.372722671,0.34824097
FBgn0044324,0.048032874,0.169649166
FBgn0010348,0.091023399,0.086454647
FBgn0037199,-0.293978802,-0.279815643
FBgn0046878,-0.352448896,-0.199952938
FBgn0037409,-0.248348615,-0.321642514
FBgn0028690,-0.048149876,-0.095495032
FBgn0037379,-0.18094744,-0.525627209
FBgn0037387,-0.312424639,-0.134085913
FBgn0028436,-0.354051673,-0.195623925
FBgn0003261,-0.193449494,0.192532575
FBgn0037391,0.088695097,0.285377543
FBgn0037382,-0.158216397,-0.457422198
FBgn0037378,-0.177553889,-0.362394807
FBgn0037376,-0.208838388,-0.435374204
FBgn0037329,-0.389657856,-0.354139828
FBgn0011715,-0.342771735,-0.090192894
FBgn0037332,-0.074941917,-0.246677439
FBgn0051550,-0.042582639,-0.146386578
FBgn0010051,0.343487371,0.261280744
FBgn0037341,0.088599735,0.0637333
FBgn0041191,0.026231399,-0.136114985
FBgn0037347,-0.313128769,-0.399536169
FBgn0037351,-0.24877307,0.076861976
